centre,video_id,url,title,channel,published,duration_s,views,test_class,transcript,n_streets,n_turns,streets_found,traceable,flags
walkley,qsnhk84B8RQ,https://youtube.com/watch?v=qsnhk84B8RQ,Ottawa Walkley G Driving Test Tips: Complete Route 2 Guide  - Dashcam (No Sound) | City Explorer,City Explorer,2024-06-06,1269,5175,G,none,1,1,walkley,,
walkley,jU_BJyq6GJM,https://youtube.com/watch?v=jU_BJyq6GJM,Road test - F driver´s license – Ottawa Walkley,ParaDoc,2024-08-29,836,2676,unknown,auto,1,1,walkley,,CLASS?
walkley,GJPTwRe5c9w,https://youtube.com/watch?v=GJPTwRe5c9w,Ottawa G Driving Test Tips: Complete Walkley Route 2 Guide Demo For First-Time Pass | City Explorer,City Explorer,2021-03-14,1304,21970,ambiguous,none,1,1,walkley,,CLASS?
walkley,gJQgNHD3U6U,https://youtube.com/watch?v=gJQgNHD3U6U,Ottawa Walkley G Driving Test Tips: Complete Route 1 Guide  - Dashcam (No Sound) | City Explorer,City Explorer,2024-06-04,1442,4846,G,none,1,1,walkley,,
walkley,1bW90IzGAv4,https://youtube.com/watch?v=1bW90IzGAv4,I passed my Canadian G Driving test!!! Ottawa Walkley Drive Test center,The Symsons,2022-04-09,979,5079,G,none,1,1,walkley,,
walkley,WGRZvu4-Wl8,https://youtube.com/watch?v=WGRZvu4-Wl8,Walkley (Ottawa) Drive test track (road)- Ontario Canada 2021,Live in Ottawa,2021-10-15,1211,3211,G,none,1,1,walkley,,
walkley,eIyLEPqtM_w,https://youtube.com/watch?v=eIyLEPqtM_w,4K | 2025 | Ottawa Walkley G Test Demo,Franco Fang,2025-04-10,1104,1817,G,none,1,1,walkley,,
walkley,DcQRo8ujfdc,https://youtube.com/watch?v=DcQRo8ujfdc,Ottawa Walkley G Road Test: PASSED!!    2 of 2,Nanci,2021-02-07,840,23671,G,none,1,1,walkley,,
walkley,rItaUNNCOko,https://youtube.com/watch?v=rItaUNNCOko,Canotek G2 Driving Test Tips: Complete Route 1 Guide  - Dashcam (No Sound) | City Explorer,City Explorer,2024-06-22,1269,8853,ambiguous,none,1,1,walkley,,CLASS?
walkley,HG0fORuKdVs,https://youtube.com/watch?v=HG0fORuKdVs,Canotek G Driving Test Tips: Complete Route 2 Guide  - Dashcam (No Sound) | City Explorer,City Explorer,2024-06-10,1118,4213,ambiguous,none,1,1,walkley,,CLASS?
